simplified_chinese,traditional_chinese,pinyin,english_meaning,part_of_speech,hsk_level,example_sentence_chinese,example_sentence_pinyin,example_sentence_english
联赛,聯賽,lián sài,(thể thao) giải đấu/giải đấu liên đoàn,N,6,,,
联手,聯手,lián shǒu,Nghĩa đen là chung tay/cùng nhau hành động,V,6,,,
两侧,兩側,liǎng cè,hai bên/cả hai bên,N,6,,,
两手,兩手,liǎng shǒu,"hai bàn tay/hai nhánh (của một chiến lược)/cả hai khía cạnh, khả năng xảy ra, v.v./kỹ năng/chuyên môn",N,6,,,
凉鞋,涼鞋,liáng xié,dép xăng đan,N,6,,,
料,料,liào,vật liệu/đồ vật/hạt/thức ăn/mong đợi/dự đoán/đoán,V,6,,,
料,料,liào,vật liệu/đồ vật/hạt/thức ăn/mong đợi/dự đoán/đoán,V,6,,,
聊,聊,liáo,trò chuyện/phụ thuộc vào (văn học)/tạm thời/chỉ/một chút,V,6,,,
聊天儿,聊天兒,liáo tiān ér,biến thể đàn nhị của 聊天[liao2 tian1],,6,,,
裂,裂,liè,tách ra/nứt ra/vỡ ra/xé toạc,V,6,,,
另,另,lìng,khác/khác/riêng biệt/riêng biệt,Pron/Adv,6,,,
灵活,靈活,líng huó,linh hoạt/nhanh nhẹn/nhanh nhẹn,Adj,6,她的思维非常灵活。,Tā de sīwéi fēicháng línghuó.,Suy nghĩ của cô ấy rất linh hoạt.
领取,領取,lǐng qǔ,nhận; rút; lấy,V,6,,,
领袖,領袖,lǐng xiù,lãnh đạo,N,6,他是一个伟大的领袖。,Tā shì yī gè wěidà de lǐngxiù.,Anh ấy là một nhà lãnh đạo vĩ đại.
流感,流感,liú gǎn,cúm; cúm,N,6,,,
留言,留言,liú yán,để lại lời nhắn; để lại bình luận/tin nhắn,V/N,6,,,
楼道,樓道,lóu dào,hành lang/lối đi (trong tòa nhà nhiều tầng),N,6,,,
楼房,樓房,lóu fáng,"tòa nhà từ hai tầng trở lên/CL:棟|栋[dong4],幢[zhuang4],座[zuo4]",N,6,,,
旅店,旅店,lǚ diàn,nhà trọ/khách sạn nhỏ,N,6,,,
路过,路過,lù guò,đi qua hoặc đi qua,V,6,,,
绿化,綠化,lǜ huà,làm xanh bằng cây xanh/tái trồng rừng/(tiếng lóng trên Internet) Hồi giáo hóa,V,6,,,
陆军,陸軍,lù jūn,quân đội/lục quân,N,6,,,
露,露,lù,sương/xi-rô/mật hoa/ngoài trời (không có mái che)/hiển thị/tiết lộ/phản bội/phơi bày,V,6,,,
露,露,lù,sương/xi-rô/mật hoa/ngoài trời (không có mái che)/hiển thị/tiết lộ/phản bội/phơi bày,V,6,,,
录像,錄像,lù xiàng,vào băng video/quay video/quay video/CL:盤|盘[pan2],V/N,6,,,
录音机,錄音機,lù yīn jī,(băng) máy ghi âm/máy ghi âm/CL:臺|台[tai2],N,6,,,
马车,馬車,mǎ chē,xe đẩy/xe ngựa/xe ngựa kéo,N,6,,,
嘛,嘛,ma,tiểu từ chỉ ra rằng điều gì đó là hiển nhiên/tiểu từ chỉ ra sự tạm dừng để nhấn mạnh,Aux,6,你说什么呢？嘛，我不明白。,"Nǐ shuō shénme ne? Ma, wǒ bù míngbái.","Bạn nói gì vậy? Hả, tôi không hiểu."
埋,埋,mái,được sử dụng trong 埋怨[man2 yuan4],V,6,,,
慢车,慢車,màn chē,xe buýt địa phương hoặc tàu hỏa/tàu hỏa chậm có nhiều điểm dừng,N,6,,,
馒头,饅頭,mán tou,bánh bao hấp,N,6,我喜欢吃馒头。,Wǒ xǐhuān chī mántou.,Tôi thích ăn bánh bao.
盲人,盲人,máng rén,người mù,N,6,,,
梅花,梅花,méi huā,hoa mận/chuồn chuồn ♣ (một bộ trong trò chơi bài)/hoa mùa đông ngọt ngào (phương ngữ),N,6,,,
美容,美容,měi róng,cải thiện ngoại hình (sử dụng mỹ phẩm hoặc phẫu thuật thẩm mỹ)/làm cho mình hấp dẫn hơn/làm đẹp,V,6,,,
猛,猛,měng,hung dữ/hung dữ/bạo lực/dũng cảm/đột ngột/đột ngột/(tiếng lóng) tuyệt vời,Adj,6,,,
蒙,"蒙,矇,濛",méng,che đậy/không biết gì/chịu đựng (bất hạnh)/nhận (ân huệ)/lừa dối,V,6,他蒙着眼睛走路。,Tā méngzhe yǎnjīng zǒulù.,Anh ấy đi bộ bịt mắt.
蒙,"蒙,矇,濛",méng,che đậy/không biết gì/chịu đựng (bất hạnh)/nhận (ân huệ)/lừa dối,V,6,他蒙着眼睛走路。,Tā méngzhe yǎnjīng zǒulù.,Anh ấy đi bộ bịt mắt.
棉,棉,mián,thuật ngữ chung cho bông hoặc bông gòn/bông/đệm hoặc chần bông,N,6,,,
免得,免得,miǎn de,để không; để tránh,Conj,6,请戴上口罩，免得感冒。,"Qǐng dài shàng kǒuzhào, miǎnde gǎnmào.",Vui lòng đeo khẩu trang để tránh cảm lạnh.
面对面,面對面,miàn duì miàn,mặt đối mặt,,6,,,
面向,面嚮,miàn xiàng,đối mặt/hướng tới/nghiêng về/hướng tới/phục vụ/hướng tới/đặc điểm khuôn mặt/ngoại hình/góc cạnh/khía cạnh,V,6,,,
妙,"妙,玅",miào,biến thể của 妙[miao4],Adj,6,,,
灭,滅,miè,"dập tắt hoặc dập tắt/dập tắt (một đám cháy, v.v.)/tiêu diệt hoặc xóa sổ/nhấn chìm",V,6,,,
民歌,民歌,mín gē,"dân ca/CL:支[zhi1],首[shou3]",N,6,,,
民工,民工,mín gōng,công nhân di cư (người chuyển từ vùng nông thôn của Trung Quốc đến thành phố để tìm việc làm)/công nhân tạm thời được tuyển vào một dự án công cộng,N,6,,,
民警,民警,mín jǐng,cảnh sát dân sự/cảnh sát PRC/abbr. cho 人民警察,N,6,,,
民意,民意,mín yì,dư luận/ý chí quần chúng/ý chí công chúng,N,6,,,
民主,民主,mín zhǔ,nền dân chủ,N/Adj,6,,,
命,命,mìng,"cuộc sống/số phận/trật tự hoặc mệnh lệnh/gán tên, danh hiệu, v.v.",N,6,,,
明日,明日,míng rì,Ngày mai,N,6,,,
名额,名額,míng é,"hạn ngạch/số lượng địa điểm/địa điểm (trong một tổ chức, một nhóm, v.v.)",N,6,这个活动有固定的名额。,Zhège huódòng yǒu gùdìng de míng'é.,Hoạt động này có số lượng chỗ cố định.
名胜,名勝,míng shèng,một nơi nổi tiếng với phong cảnh hoặc di tích lịch sử/danh lam thắng cảnh/CL:處|处[chu4],N,6,,,
名义,名義,míng yì,tên/danh xưng/danh nghĩa/trên danh nghĩa/mục đích bề ngoài,N,6,,,
名誉,名譽,míng yù,danh tiếng/danh tiếng/danh dự/danh dự/danh dự (của giáo sư đã nghỉ hưu),N/Adj,6,他的名誉受到了损害。,Tā de míngyù shòudào le sǔnhài.,Danh tiếng của anh ấy bị tổn hại.
膜,膜,mó,màng/phim,N,6,显微镜下可以看到膜。,Xiǎnwéijìng xià kěyǐ kàn dào mó.,Có thể nhìn thấy màng dưới kính hiển vi.
墨水,墨水,mò shuǐ,ink/CL:瓶[ping2],N,6,,,
磨,磨,mó,đá mài/mài/xoay tròn,V,6,,,
没收,沒收,mò shōu,tịch thu/tịch thu,V,6,,,
墓,墓,mù,mộ/lăng mộ/lăng tẩm,N,6,,,
母,母,mǔ,mẹ/người phụ nữ lớn tuổi họ hàng/nguồn gốc/nguồn gốc/(của động vật) con cái,Adj/N,6,,,
母鸡,母雞,mǔ jī,"hen/không biết (tiếng lóng hài hước bắt chước tiếng Quảng Đông 唔知, Việt bính: m4 zi1)",N,6,,,
母女,母女,mǔ nǚ,mẹ và con gái/mẹ-con gái,N,6,,,
母子,母子,mǔ zi,mẹ và con/cha mẹ và công ty con (công ty)/chủ sở hữu và lợi ích,N,6,,,
拿走,拿走,ná zǒu,để lấy đi,,6,,,
奶粉,奶粉,nǎi fěn,sữa bột,N,6,,,
奶牛,奶牛,nǎi niú,bò sữa/bò sữa,N,6,,,
难忘,難忘,nán wàng,không thể nào quên,V,6,,,
内地,內地,nèi dì,nội địa/nội địa/nội địa,N,6,,,
内外,內外,nèi wài,bên trong và bên ngoài/trong nước và nước ngoài/xấp xỉ/khoảng,N,6,,,
内衣,內衣,nèi yī,đồ lót/đồ lót/CL:件[jian4],N,6,,,
能否,能否,néng fǒu,có thể hay không/có thể hay không/có thể thực hiện được không?,V,6,,,
泥,泥,ní,bị kiềm chế,N,6,,,
扭,扭,niǔ,xoay/xoắn/vặn/bong gân/lắc hông,V,6,,,
排行榜,排行榜,pái háng bǎng,bảng xếp hạng (sách bán chạy nhất)/bảng xếp hạng,N,6,,,
派出,派出,pài chū,gửi/gửi đi,,6,,,
判,判,pàn,phán xét/phán quyết/phân biệt/phân biệt rõ ràng,V,6,,,
盼望,盼望,pàn wàng,hy vọng; mong đợi,V,6,我们盼望你的到来。,Wǒmen pànwàng nǐ de dàolái.,Chúng tôi mong chờ sự đến của bạn.
炮,"炮,砲",pào,biến thể của 炮[pao4],N,6,,,
泡,泡,pào,bong bóng; bọt/phồng rộp/ngâm; ngâm; truyền/chần chừ; lảng vảng/đón (một cô gái)/quan hệ với (một bạn tình)/phân loại cho các lần xảy ra hành động/phân loại cho số lần truyền,V/N,6,,,
陪同,陪同,péi tóng,đi cùng,V,6,,,
配置,配置,pèi zhì,triển khai/phân bổ/cấu hình/phân bổ,V,6,,,
皮球,皮球,pí qiú,"quả bóng (làm bằng cao su, da, v.v.)",N,6,,,
偏,偏,piān,nghiêng/nghiêng/xiên/có thành kiến/đi chệch khỏi mức trung bình/đi chệch khỏi đường dự định/cứng đầu/trái với mong đợi,Adj/Adv,6,,,
贫困,貧困,pín kùn,nghèo đói/nghèo khó,Adj,6,这个地区非常贫困。,Zhège dìqū fēicháng pínkùn.,Khu vực này rất nghèo.
品牌,品牌,pǐn pái,tên thương hiệu/nhãn hiệu,N,6,,,
聘请,聘請,pìn qǐng,"thuê/thuê (một luật sư, v.v.)",V,6,,,
评,評,píng,thảo luận/bình luận/phê bình/đánh giá/lựa chọn (bằng cách đánh giá công khai),V,6,,,
屏幕,屏幕,píng mù,"màn hình (TV, máy tính hoặc phim)",N,6,,,
平凡,平凡,píng fán,tầm thường/bình thường/tầm thường,Adj,6,他是一个平凡的人。,Tā shì yī gè píngfán de rén.,Anh ấy là một người bình thường.
平方米,平方米,píng fāng mǐ,mét vuông,M,6,,,
平衡,平衡,píng héng,sự cân bằng/cân bằng,Adj,6,他努力保持平衡。,Tā nǔlì bǎochí pínghéng.,Anh ấy cố gắng duy trì sự cân bằng.
平台,平臺,píng tái,tòa nhà có sân thượng/sân thượng/mái bằng,N,6,,,
评选,評選,píng xuǎn,lựa chọn dựa trên cơ sở bỏ phiếu hoặc sự đồng thuận,V,6,,,
坡,坡,pō,độ dốc/CL:個|个[ge4]/dốc/nghiêng,N,6,他们从山坡上滑下来。,Tāmen cóng shānpō shàng huá xiàlái.,Họ trượt xuống từ sườn núi.
扑,撲,pū,lao vào/vồ lấy/dành hết năng lượng/vỗ cánh/bay phấp phới/chấm nhẹ/vỗ nhẹ/cúi xuống,V,6,他扑向了前面的敌人。,Tā pū xiàng le qiánmiàn de dírén.,Anh ấy lao về phía kẻ địch phía trước.
铺,"鋪,舖",pù,giường ván/nơi ngủ/cửa hàng/lưu trữ/trạm chuyển tiếp (cũ),V,6,他们在地上铺了一张毯子。,Tāmen zài dìshàng pū le yī zhāng tǎnzi.,Họ trải một tấm thảm trên mặt đất.
起点,起點,qǐ diǎn,điểm khởi đầu,N,6,,,
欺负,欺負,qī fù,bắt nạt,V,6,他总是欺负弱小。,Tā zǒngshì qīfù ruòxiǎo.,Anh ấy luôn bắt nạt kẻ yếu.
奇妙,奇妙,qí miào,tuyệt vời; tuyệt diệu,Adj,6,这个地方有很多奇妙的事情。,Zhège dìfāng yǒu hěn duō qímiào de shìqíng.,Nơi này có rất nhiều điều kỳ diệu.
气氛,氣氛,qì fēn,bầu không khí; tâm trạng,N,6,这里的气氛很轻松。,Zhèlǐ de qìfēn hěn qīngsōng.,Bầu không khí ở đây rất thoải mái.
起诉,起訴,qǐ sù,khởi kiện/khởi kiện/truy tố,V,6,,,
企图,企圖,qǐ tú,cố gắng/cố gắng/cố gắng/CL:種|种[zhong3],V/N,6,,,
恰当,恰當,qià dàng,thích hợp/phù hợp,Adj,6,这次会议的安排非常恰当。,Zhè cì huìyì de ānpái fēicháng qiàdàng.,Sắp xếp của cuộc họp lần này rất hợp lý.
恰好,恰好,qià hǎo,"hóa ra/do sự trùng hợp may mắn/(về số lượng, thời gian, kích thước, v.v.) vừa đúng",Adv,6,,,
恰恰,恰恰,qià qià,chính xác/chính xác/chính xác,Adv,6,,,
牵,牽,qiān,dẫn theo/kéo (một con vật bị trói)/(hình thức ràng buộc) lôi kéo/thu hút vào,V,6,,,
铅笔,鉛筆,qiān bǐ,"(chì) bút chì/CL:支[zhi1],枝[zhi1],桿|杆[gan3]",N,6,我需要一支铅笔。,Wǒ xūyào yī zhī qiānbǐ.,Tôi cần một cây bút chì.
前方,前方,qián fāng,phía trước/phía trước,N,6,,,
前来,前來,qián lái,đến (trang trọng)/trước/trước đó,V,6,,,
潜力,潛力,qián lì,tiềm năng/năng lực,N,6,他有很大的潜力。,Tā yǒu hěn dà de qiánlì.,Anh ấy có tiềm năng lớn.
谦虚,謙虛,qiān xū,khiêm tốn/tự hạ mình/nói những lời khiêm tốn,Adj,6,他总是那么谦虚。,Tā zǒng shì nàme qiānxū.,Anh ấy luôn khiêm tốn như vậy.
强盗,強盜,qiáng dào,cướp (bằng vũ lực)/kẻ cướp/kẻ cướp/CL:個|个[ge4],N,6,,,
强化,強化,qiáng huà,để tăng cường/để tăng cường,V,6,,,
强势,強勢,qiáng shì,mạnh mẽ/quyền lực/(ngôn ngữ học) nhấn mạnh/mạnh mẽ,N/Adj,6,,,
强壮,強壯,qiáng zhuàng,mạnh mẽ/chắc chắn/mạnh mẽ,Adj/V,6,,,
桥梁,橋梁,qiáo liáng,cầu (nghĩa đen và nghĩa bóng),N,6,这座桥梁连接了两地。,Zhè zuò qiáoliáng liánjiē le liǎngdì.,Cây cầu này nối liền hai nơi.
巧妙,巧妙,qiǎo miào,khéo léo; thông minh/khéo léo; thủ đoạn,Adj,6,他设计了一个巧妙的解决方案。,Tā shèjìle yīgè qiǎomiào de jiějué fāng'àn.,Anh ấy thiết kế một giải pháp khéo léo.
切实,切實,qiè shí,khả thi/thực tế/thực tiễn/thật tâm/tận tâm,Adj,6,我们要采取切实的措施。,Wǒmen yào cǎiqǔ qièshí de cuòshī.,Chúng ta phải thực hiện các biện pháp thiết thực.
茄子,茄子,qié zi,"cà tím (Solanum melongena L.)/cà tím/cà tím/bí Guinea/phát âm là ""pho mát"" (khi được chụp ảnh)/tương đương với ""nói là phô mai""",N,6,,,
侵犯,侵犯,qīn fàn,xâm phạm/xâm phạm/xâm phạm/tấn công,V,6,侵犯他人的权利是不对的。,Qīnfàn tārén de quánlì shì bù duì de.,Xâm phạm quyền lợi của người khác là sai trái.
亲属,親屬,qīn shǔ,họ hàng/họ hàng/người thân,N,6,,,
亲眼,親眼,qīn yǎn,bằng chính mắt mình/cá nhân mình,Adv,6,,,
清明节,清明節,qīng míng jié,"Tết Thanh Minh hay còn gọi là Tết Thanh Minh hay Ngày Tảo mộ, ngày lễ tưởng nhớ người đã khuất (đầu tháng 4)",N,6,,,
清,清,qīng,"(nước, v.v.) trong; sạch/yên tĩnh; tĩnh lặng/tinh khiết; không bị ô nhiễm/trong; rõ ràng/làm rõ; giải quyết (các tài khoản)",Adj/V,6,,,
清洁,清潔,qīng jié,làm sạch/làm sạch,Adj,6,房间需要清洁。,Fángjiān xūyào qīngjié.,Căn phòng cần được dọn dẹp.
清洁工,清潔工,qīng jié gōng,người dọn dẹp/người gác cổng/người thu gom rác,N,6,,,
清洗,清洗,qīng xǐ,rửa/làm sạch/thanh lọc,V,6,,,
倾向,傾向,qīng xiàng,xu hướng/khuynh hướng/định hướng,V/N,6,他倾向于支持这个提案。,Tā qīngxiàng yú zhīchí zhège tí'àn.,Anh ấy có xu hướng ủng hộ đề xuất này.
情绪,情緒,qíng xù,tâm trạng/trạng thái tâm trí/buồn bã/CL:種|种[zhong3],N,6,他情绪不好。,Tā qíngxù bù hǎo.,Anh ấy có tâm trạng không tốt.
球拍,球拍,qiú pāi,vợt,N,6,,,
球星,球星,qiú xīng,ngôi sao thể thao (môn thể thao bóng),N,6,,,
球员,球員,qiú yuán,(thể thao bóng) cầu thủ; thành viên đội,N,6,,,
求职,求職,qiú zhí,tìm kiếm việc làm,V,6,,,
渠道,渠道,qú dào,mương tưới tiêu/(hình) kênh/phương tiện,N,6,他们正在挖掘新的渠道。,Tāmen zhèngzài wājué xīn de qúdào.,Họ đang đào kênh mới.
区分,區分,qū fēn,phân biệt/phân biệt/chia thành các loại,V,6,我们需要区分事实和观点。,Wǒmen xūyào qūfēn shìshí hé guāndiǎn.,Chúng ta cần phân biệt giữa sự thật và quan điểm.
去掉,去掉,qù diào,loại bỏ/loại trừ/loại bỏ/xóa bỏ/tước bỏ/trích xuất,,6,,,
取款,取款,qǔ kuǎn,rút tiền từ ngân hàng,V,6,,,
取款机,取款機,qǔ kuǎn jī,ATM,N,6,,,
权,權,quán,thẩm quyền/quyền lực/quyền/(văn học) để cân nhắc/có lợi/tạm thời,N,6,,,
权力,權力,quán lì,quyền lực/quyền hạn,N,6,这个国家的权力结构复杂。,Zhège guójiā de quánlì jiégòu fùzá.,Cơ cấu quyền lực của quốc gia này rất phức tạp.
全力,全力,quán lì,với tất cả sức mạnh/sức mạnh toàn diện/nỗ lực hết mình/hỗ trợ hết mình,N,6,,,
全新,全新,quán xīn,tất cả mới; hoàn toàn mới,Adj,6,,,
券,"券,劵",quàn,biến thể của 券[quan4],N,6,,,
缺陷,缺陷,quē xiàn,khuyết điểm; sai sót,N,6,这个机器有一些缺陷。,Zhège jīqì yǒu yīxiē quēxiàn.,Cái máy này có một số khuyết điểm.
却是,卻是,què shì,tuy nhiên/thực ra/sự thật là ...,,6,,,
让座,讓座,ràng zuò,nhường chỗ cho ai đó,,6,,,
热点,熱點,rè diǎn,điểm nóng/điểm quan tâm đặc biệt,N,6,,,
热水,熱水,rè shuǐ,nước nóng,N,6,,,
热水器,熱水器,rè shuǐ qì,máy nước nóng,N,6,,,
热线,熱線,rè xiàn,đường dây nóng (liên kết truyền thông),N,6,,,
人权,人權,rén quán,nhân quyền,N,6,,,
认同,認同,rèn tóng,chấp thuận/xác nhận/thừa nhận/nhận dạng bản thân với,V,6,,,
日夜,日夜,rì yè,ngày và đêm/24/24,N,6,,,
日语,日語,rì yǔ,Tiếng Nhật,N,6,,,
融合,融合,róng hé,một hỗn hợp/một hỗn hợp/sự kết hợp/hàn lại với nhau/để ​​hòa hợp với (thiên nhiên)/để hòa hợp với/để phù hợp với,V,6,,,
融入,融入,róng rù,hòa nhập vào/tích hợp/đồng hóa/sáp nhập,,6,,,
如,如,rú,như/như thể/chẳng hạn như,V/Conj,6,,,
入,入,rù,nhập/đi vào/tham gia/trở thành thành viên của/xác nhận hoặc đồng ý với/viết tắt cho 入聲|入声[ru4 sheng1],V,6,,,
入学,入學,rù xué,nhập học trường học hoặc cao đẳng/lần đầu tiên đi học khi còn nhỏ,,6,,,
如一,如一,rú yī,nhất quán/giống nhau/không thay đổi,V,6,,,
乳制品,乳製品,rǔ zhì pǐn,các sản phẩm từ sữa,N,6,,,
若,若,ruò,có vẻ/giống như/như/nếu,Conj,6,,,
赛,賽,sài,cạnh tranh/thi đấu/đấu trí/vượt trội/tốt hơn/vượt trội/xuất sắc,V,6,,,
赛场,賽場,sài chǎng,đường đua/sân vận động (dành cho cuộc thi điền kinh),N,6,,,
塞,塞,sāi,dừng lại/để nhét/để đối phó với,V,6,,,
三明治,三明治,sān míng zhì,sandwich (từ mượn)/CL:個|个[ge4],N,6,,,
丧失,喪失,sàng shī,mất/bị mất,V,6,他丧失了信心。,Tā sàngshī le xìnxīn.,Anh ấy đã mất niềm tin.
山峰,山峰,shān fēng,đỉnh (núi),N,6,,,
山谷,山谷,shān gǔ,thung lũng/hẻm núi,N,6,,,
山坡,山坡,shān pō,sườn đồi,N,6,,,
商城,商城,shāng chéng,trung tâm mua sắm/cửa hàng bách hóa,N,6,,,
上当,上當,shàng dàng,bị lừa (bởi sự lừa dối của ai đó)/bị lừa/bị lừa gạt,,6,他上当了，被骗了钱。,"Tā shàngdàngle, bèi piànle qián.",Anh ấy đã bị lừa và mất tiền.
上帝,上帝,shàng dì,Chúa,N,6,,,
伤口,傷口,shāng kǒu,vết thương/vết cắt,N,6,,,
上市,上市,shàng shì,tung ra thị trường (một sản phẩm mới)/niêm yết (một công ty trên thị trường chứng khoán),,6,,,
上台,上台,shàng tái,lên nắm quyền (trong chính trị)/lên sân khấu (trong nhà hát),,6,,,
伤亡,傷亡,shāng wáng,thương vong/thương tích và tử vong,V/N,6,,,
上演,上演,shàng yǎn,chiếu (một bộ phim)/dàn dựng (một vở kịch)/chiếu phim/dàn dựng,V,6,,,
伤员,傷員,shāng yuán,người bị thương,N,6,,,
少儿,少兒,shào ér,đứa trẻ,N,6,,,
勺,勺,sháo,"thìa/muôi/CL:把[ba3]/abbr. for 公勺[gong1 shao2], centiliter (đơn vị thể tích)",N,6,,,
涉及,涉及,shè jí,liên quan/đề cập đến (một chủ đề),V,6,这件事涉及到很多人。,Zhè jiàn shì shèjí dào hěn duō rén.,Việc này liên quan đến nhiều người.
设计师,設計師,shè jì shī,nhà thiết kế/kiến trúc sư,N,6,,,
舌头,舌頭,shé tou,lưỡi/CL:個|个[ge4]/lính địch bị bắt để khai thác thông tin,N,6,,,
审查,審查,shěn chá,kiểm tra/điều tra/kiểm duyệt/kiểm duyệt,V,6,我们需要审查这些文件。,Wǒmen xūyào shěnchá zhèxiē wénjiàn.,Chúng ta cần kiểm tra những tài liệu này.
深化,深化,shēn huà,làm sâu sắc/làm mạnh mẽ hơn,V,6,,,
深深,深深,shēn shēn,sâu sắc/sâu sắc,,6,,,
盛行,盛行,shèng xíng,đang thịnh hành; đang được ưa chuộng; đang thịnh hành,V,6,这种风格在当地盛行。,Zhè zhǒng fēnggé zài dāngdì shèngxíng.,Phong cách này rất phổ biến ở địa phương.
圣诞节,聖誕節,shèng dàn jié,Thời gian Giáng sinh/Mùa Giáng sinh/Giáng sinh,N,6,,,
生活费,生活費,shēng huó fèi,chi phí sinh hoạt/chi phí sinh hoạt/tiền cấp dưỡng,N,6,,,
升级,升級,shēng jí,lên một bậc; được thăng chức/tăng cường (về cường độ)/(tính toán) để nâng cấp,,6,,,
省钱,省錢,shěng qián,để tiết kiệm tiền,,6,,,
升学,升學,shēng xué,để vào trường lớp tiếp theo,,6,,,
升值,昇值,shēng zhí,tăng giá trị/đánh giá cao,V,6,,,
适当,適當,shì dàng,phù hợp; thích hợp,Adj,6,,,
试点,試點,shì diǎn,điểm thử nghiệm/để tiến hành thử nghiệm/kế hoạch thí điểm,V/N,6,,,
时而,時而,shí ér,thỉnh thoảng/thỉnh thoảng,Adv,6,他时而工作，时而休息。,"Tā shí'ér gōngzuò, shí'ér xiūxí.","Anh ấy lúc thì làm việc, lúc thì nghỉ ngơi."
师父,師父,shī fù,dùng cho 師傅|师傅 (ở Đài Loan)/thạc sĩ/công nhân có trình độ,N,6,,,
市民,市民,shì mín,cư dân thành phố,N,6,,,
实践,實踐,shí jiàn,thực hành/thực hiện/thực hiện (lời hứa)/thực hiện (một dự án),V/N,6,我们需要把理论应用到实践中。,Wǒmen xūyào bǎ lǐlùn yìngyòng dào shíjiàn zhōng.,Chúng ta cần áp dụng lý thuyết vào thực tiễn.
时节,時節,shí jié,mùa; thời gian,N,6,,,
时期,時期,shí qī,giai đoạn/giai đoạn/CL:個|个[ge4],N,6,这个时期经济很不稳定。,Zhège shíqī jīngjì hěn bù wěndìng.,"Trong giai đoạn này, nền kinh tế rất không ổn định."
师生,師生,shī shēng,giáo viên và học sinh,N,6,,,
时时,時時,shí shí,thường xuyên/liên tục,Adv,6,,,
识,識,shí,ghi lại/viết chú thích,V,6,,,
食欲,食慾,shí yù,sự thèm ăn,N,6,,,
时装,時裝,shí zhuāng,thời trang/quần áo thời trang,N,6,她喜欢穿时装。,Tā xǐhuān chuān shízhuāng.,Cô ấy thích mặc trang phục thời trang.
识字,識字,shí zì,học đọc,,6,,,
事后,事後,shì hòu,sau sự kiện/nhìn lại/nhìn lại quá khứ,N,6,,,
首,首,shǒu,"đầu/chủ/đầu tiên (dịp, vật, v.v.)/phân loại cho bài thơ, bài hát, v.v.",M,6,这首歌在排行榜上位居首位。,Zhè shǒu gē zài pái háng bǎng shàng wèi jū shǒu wèi.,Bài hát này đứng đầu bảng xếp hạng.
收藏,收藏,shōu cáng,"thu thập (tác phẩm nghệ thuật, búp bê, đồ cổ, v.v.); cất đi để giữ an toàn; (Internet) đánh dấu/bộ sưu tập",V,6,她喜欢收藏古董。,Tā xǐhuān shōucáng gǔdǒng.,Cô ấy thích sưu tầm đồ cổ.
首次,首次,shǒu cì,lần đầu tiên/lần đầu tiên/lần đầu tiên,,6,,,
首脑,首腦,shǒu nǎo,nguyên thủ quốc gia/hội nghị thượng đỉnh/lãnh đạo,N,6,,,
收取,收取,shōu qǔ,nhận/thu thập,V,6,,,
首席,首席,shǒu xí,"người đứng đầu (đại diện, phóng viên, v.v.)",N/Adj,6,,,
首相,首相,shǒu xiàng,"thủ tướng (của Nhật Bản hoặc Anh, v.v.)",N,6,,,
手续费,手續費,shǒu xù fèi,phí dịch vụ/phí xử lý/hoa hồng,N,6,,,
收养,收養,shōu yǎng,"nhận nuôi và chăm sóc (người già, chó, v.v.)/nhận nuôi (trẻ em)/nhận con nuôi",V,6,,,
书房,書房,shū fáng,học (phòng)/studio/CL:間|间[jian1],N,6,,,
薯片,薯片,shǔ piàn,khoai tây chiên giòn,N,6,,,
薯条,薯條,shǔ tiáo,khoai tây chiên/khoai tây chiên kiểu Pháp/khoai tây chiên,N,6,,,
双打,雙打,shuāng dǎ,đánh đôi (trong thể thao)/CL:場|场[chang3],N,6,,,
爽,爽,shuǎng,sáng sủa/rõ ràng/sắc nét/cởi mở/thẳng thắn/thẳng thắn/cảm thấy khỏe/tốt/thú vị/sảng khoái/lạc hướng,Adj,6,,,
水泥,水泥,shuǐ ní,xi măng/CL:袋[dai4],N,6,他们用水泥建造了这座桥。,Tāmen yòng shuǐní jiànzào le zhè zuò qiáo.,Họ đã dùng xi măng xây dựng cây cầu này.
税,稅,shuì,thuế/thuế vụ,N,6,这笔税务很复杂。,Zhè bǐ shuìwù hěn fùzá.,Khoản thuế này rất phức tạp.
顺,順,shùn,tuân theo/làm theo/sắp xếp/làm cho hợp lý/dọc theo/thuận lợi,Adj/V/Prep,6,,,
说明书,說明書,shuō míng shū,(kỹ thuật) hướng dẫn/(sách) chỉ dẫn/tóm tắt (của một vở kịch hoặc bộ phim)/thông số kỹ thuật (bằng sáng chế)/CL:本[ben3],N,6,,,
说实话,說實話,shuō shí huà,nói sự thật/nói sự thật/nói thẳng thắn,,6,,,
四处,四處,sì chù,khắp mọi nơi/mọi nơi và mọi hướng,N,6,,,
寺,寺,sì,Chùa Phật giáo/nhà thờ Hồi giáo/văn phòng chính phủ (cũ),N,6,,,
死亡,死亡,sǐ wáng,chết/cái chết,V,6,事故导致两人死亡。,Shìgù dǎozhì liǎng rén sǐwáng.,Tai nạn khiến hai người tử vong.
司长,司長,sī zhǎng,trưởng văn phòng,N,6,,,
送礼,送禮,sòng lǐ,tặng quà,,6,,,
送行,送行,sòng xíng,tiễn ai đó/tổ chức tiệc chia tay ai đó,,6,,,
