simplified_chinese,traditional_chinese,pinyin_latin,pinyin_zhuyin,pinyin_vietnamese,level,vietnamese_meaning,chinese_explanation,example_sentence_chinese,example_sentence_pinyin,example_sentence_vietnamese,grammar_pattern,related_compounds,radical_info,stroke_count,stroke_order,popularity
阴,陰,yīn,ㄧㄣ,âm,,âm lịch; chỗ râm; bóng râm; cõi âm; âm ti; âm phủ; sau lưng; mặt sau; chữ khắc; lưng bia; mặt sau của bia; âm hộ (bộ phận sinh dục nữ); họ Âm; bờ nam sông; phía bắc núi; âm u; u ám; tối tăm; nham hiểm; thâm hiểm; thâm độc; cực âm; ca-tốt (vật lí); ngầm; bí mật; lõm,古代指太阴，即月亮【古代指太陰，即月亮】,他记不住阴历日子。【他記不住陰曆日子。】,tā jì bù zhù yīnlì rìzi.,Anh ấy không nhớ được ngày theo âm lịch.,,阴天【陰天】ÂM THIÊN; 阴影【陰影】ÂM ẢNH; 阴阳【陰陽】ÂM DƯƠNG; 阴历【陰曆】ÂM LỊCH; 晴TÌNH,PHỤ 阜Số nét: 6,6,フ丨ノフ一一,
银行,銀行,yínháng,ㄧㄣˊㄒㄧㄥˊ,ngân hàng,,nhà băng; ngân hàng,经营存款、贷款、汇兑、储蓄等业务的金融机构【經營存款、貸款、匯兌、儲蓄等業務的金融機構】,他在银行存了一笔钱。【他在銀行存了一筆錢。】,tā zài yínháng cúnle yī bǐ qián.,Anh ta gửi một khoản tiền trong ngân hàng.,银行 + Danh từ (卡、存款、存折、账户),银行卡【銀行卡】NGÂN HÀNH CA; 银行业【銀行業】NGÂN HÀNH NGHIỆP; 银行家【銀行傢】NGÂN HÀNH GIA; 银行里【銀行裡/裏】NGÂN HÀNH LÍ; 钱庄【錢莊】TIỀN TRANG,KIM 金Số nét: 11,11,ノ一一一フフ一一フノ丶,
银行卡,銀行卡,yínháng kǎ,ㄧㄣˊㄒㄧㄥˊㄎㄚˇ,ngân hành ca,,thẻ ATM; thẻ ngân hàng,办理存款、贷款、汇兑、储蓄等业务的金融机构【辦理存款、貸款、匯兌、儲蓄等業務的金融機構】,我的银行卡丢了。【我的銀行卡丟了。】,wǒ de yínháng kǎ diūle.,Thẻ ngân hàng của tôi mất rồi.,,,KIM 金Số nét: 11,11,ノ一一一フフ一一フノ丶,
音节,音節,yīnjié,ㄧㄣㄐㄧㄝˊ,âm tiết,,âm tiết,从听觉上最容易分辨出来的最小的语音单位。由一个或几个音素组成，其中包含－个比较响亮的中心。一句话里头，有几个响亮的中心就是有几个音节。在汉语里，一般地讲，一个汉字是一个音节，一个音节写成一个汉字（儿化韵一个音节写成两个字，儿不自成音节，是例外）【從聽覺上最容易分辨齣來的最小的語音單位。由一個或幾個音素組成，其中包含個比較響亮的中心。一句話裡/裏頭，有幾個響亮的中心就是有幾個音節。在漢語裡/裏，一般地講，一個漢字是一個音節，一個音節寫成一個漢字兒化韻一個音節寫成兩個字，兒不自成音節，是例外】,汉语有声调和音节。【漢語有聲調和音節。】,Hànyǔ yǒu shēngdiào hé yīnjié.,Tiếng Trung có thanh điệu và âm tiết.,,双音节【雙音節】SONG ÂM TIẾT; 单音节【單音節】ĐƠN ÂM TIẾT; 闭音节【閉音節】BẾ ÂM TIẾT; 重音节【重音節】TRỌNG ÂM TIẾT,ÂM 音Số nét: 9,9,丶一丶ノ一丨フ一一,
阴天,陰天,yīn tiān,ㄧㄣㄊㄧㄢ,âm thiên,,trời âm u; trời nhiều mây,一种天气情况，天空80%都是云，看不到或者只能看到一点儿太阳【一種天氣情況，天空都是雲，看不到或者隻能看到一點兒太陽】,阴天让人的心情不好。【陰天讓人的心情不好。】,yīn tiān ràng rén de xīnqíng bù hǎo.,Trời âm u khiến cho tâm trạng con người không vui.,,连阴天【連陰天】LIÊN ÂM THIÊN; 晴天TÌNH THIÊN; 晴空TÌNH KHÔNG; 多云【多雲】ĐA VÂN; 雨天VŨ THIÊN,PHỤ 阜Số nét: 6,6,フ丨ノフ一一,
因为,因為,yīnwèi,ㄧㄣㄨㄟˋ,nhân vị,,bởi vì; bởi rằng; vì; số là; tại đâu; tại vì; vì rằng; vì; do; bởi vì,表示原因或理由【錶示原因或理由】,他因为我的笑话笑了。【他因為我的笑話笑了。】,tā yīnwèi wǒ de xiàohuà xiàole.,Anh ấy cười lớn vì câu chuyện cười của tôi.,A + 因为 + ...+ Động từ + Tân ngữ,正因为【正因為】CHÍNH NHÂN VI; 就因为【就因為】TỰU NHÂN VI; 由于【由於】DO VU; 为了【為了】VI LIỄU; 因而NHÂN NHI,VI 囗Số nét: 6,6,丨フ一ノ丶一,
音乐,音樂,yīnyuè,ㄧㄣㄌㄜˋ,âm nhạc,,nhạc; âm nhạc,用有组织的乐音来表达人们思想感情、反映现实生活的一种艺术它的最基本的要素是节奏和旋律分为声乐和器乐两大部门【用有組織的樂音來錶達人們思想感情、反映現實生活的一種藝術它的最基本的要素是節奏和旋律分為聲樂和器樂兩大部門】,我喜欢听轻松的音乐。【我喜歡聽輕鬆的音樂。】,wǒ xǐhuan tīng qīngsōng de yīnyuè.,Tôi thích nghe nhạc nhẹ nhàng thư giãn.,,音乐会【音樂會】ÂM LẠC HỘI; 听音乐【聽音樂】THÍNH ÂM LẠC; 音乐家【音樂傢】ÂM LẠC GIA; 音乐厅【音樂廳】ÂM LẠC SẢNH,ÂM 音Số nét: 9,9,丶一丶ノ一丨フ一一,
音乐会,音樂會,yīnyuè huì,ㄧㄣㄌㄜˋㄏㄨㄟˋ,âm nhạc hội,,buổi hòa nhạc; buổi diễn tấu âm nhạc,表演音乐作品的演出活动。【錶演音樂作品的演齣活動。】,他们在音乐会里表演。【他們在音樂會裡/裏錶演。】,tāmen zài yīnyuè huì li biǎoyǎn.,Họ biểu diễn trong buổi hòa nhạc.,,大音乐会【大音樂會】ĐẠI ÂM LẠC HỘI,ÂM 音Số nét: 9,9,丶一丶ノ一丨フ一一,
应该,應該,yīnggāi,ㄧㄥㄍㄞ,ưng cai,,nên; phải; cần; cần phải; chắc; có lẽ; hẳn là,表示理所当然【錶示理所當然】,这是我应该做的。【這是我應該做的。】,zhè shì wǒ yīnggāi zuò de.,Đây là việc tôi nên làm mà.,Chủ ngữ + 应该 + Động từ/ Câu,应该的【應該的】ỨNG CAI ĐÍCH; 可能KHẢ NĂNG; 何必HÀ TẤT; 不该【不該】BẤT CAI; 不愧BẤT QUÝ,NGHIỄM 广Số nét: 7,7,丶一ノ丶丶ノ一,
影片,電影片,yǐngpiàn,ㄧㄥˇㄆㄧㄢˋ,ảnh phiến,,phim; bộ phim; tập phim; cuộn phim; thước phim; video,电影片【電影片】,我没看过这影片。【我沒看過這影片。】,wǒ méi kànguò zhè yǐngpiàn.,Tôi chưa từng xem bộ phim này.,这/Số từ + 部 + 影片,投影片ĐẦU ẢNH PHIẾN; 影片库【影片庫】ẢNH PHIẾN KHỐ; 宽影片【寬影片】KHOAN ẢNH PHIẾN; 动画影片【動畫影片】ĐỘNG HỌA ẢNH PHIẾN; 影视【影視】ẢNH THỊ,SAM 彡Số nét: 15,15,丨フ一一丶一丨フ一丨ノ丶ノノノ,
影响,影響,yǐngxiǎng,ㄧㄥˇㄒㄧㄤˇ,ảnh hưởng,,ảnh hưởng; sự ảnh hưởng; đồn đại; vô căn cứ,对别人的思想或行动起作用 (如影之随形，响之应声)【對別人的思想或行動起作用(如影之隨形，響之應聲)】,爸爸影响了我的一生。【爸爸影響了我的一生。】,bàba yǐngxiǎngle wǒ de yīshēng.,Bố đã ảnh hưởng đến cả cuộc đời của tôi.,Chủ ngữ + 受 + Tân ngữ + 的 + 影响,影响力【影響力】ẢNH HƯỞNG LỰC; 影响者【影響者】ẢNH HƯỞNG GIẢ; 影响面【影響麵】ẢNH HƯỞNG DIỆN.MIẾN; 有影响【有影響】HỮU ẢNH HƯỞNG; 配合【配閤】PHỐI HỢP,SAM 彡Số nét: 15,15,丨フ一一丶一丨フ一丨ノ丶ノノノ,
英文,英語的書麵形式；氾指英語,yīngwén,ㄧㄥㄨㄣˊ,anh văn,,tiếng Anh; ngôn ngữ Anh,英语的书面形式；泛指英语【英語的書麵形式；氾指英語】,我正在学习英文。【我正在學習英文。】,wǒ zhèngzài xuéxí yīngwén.,Tôi đang học tiếng Anh.,Động từ + 英文,蔡英文THÁI ANH VĂN; 英文杂志【英文雜誌】ANH VĂN TẠP CHÍ; 英语【英語】ANH NGỮ,THẢO 艸Số nét: 8,8,一丨丨丨フ一ノ丶,
英语,英語,yīngyǔ,ㄧㄥㄩˇ,anh ngữ,,tiếng Anh; Anh ngữ; Anh văn,英国和美国以及大多数英属殖民地和自治邻的语言【英國和美國以及大多數英屬殖民地和自治鄰的語言】,他的英语说得很流利。【他的英語説得很流利。】,tā de yīngyǔ shuō de hěn líulì.,Anh ấy nói tiếng Anh rất lưu loát.,英语 + 水平，教材，老师,英语角【英語角】ANH NGỮ GIÁC; 英语系【英語繫】ANH NGỮ HỆ; 英语热【英語熱】ANH NGỮ NHIỆT; 中式英语【中式英語】TRUNG THỨC ANH NGỮ,THẢO 艸Số nét: 8,8,一丨丨丨フ一ノ丶,
永远,永遠,yǒngyuǎn,ㄩㄥˇㄩㄢˇ,vĩnh viễn,,vĩnh viễn; mãi mãi; luôn luôn; mãi mãi,表示时间长久，没有终止【錶示時間長久，沒有終止】,我们会永远在一起。【我們會永遠在一起。】,wǒmen huì yǒngyuǎn zài yīqǐ.,Chúng ta sẽ mãi mãi bên nhau.,永远 + Động từ (记住/忘不了/保持...),永永远远【永永遠遠】VĨNH VĨNH VIỄN VIỄN; 暂时【暫時】TẠM THÌ; 瞬间【瞬間】THUẤN GIAN; 短暂【短暫】ĐOẢN TẠM; 随即【隨即】TUỲ TỨC,THUỶ 水Số nét: 5,5,丶フフノ丶,
又,錶示某種動作或情況重復或繼續,yòu,ㄧㄡˋ,hựu,,lại (biểu thị lặp lại hoặc tiếp tục); vừa...vừa....; lại; lại thêm; lại còn (biểu thị tăng thêm); nhưng; lại (biểu thị chuyển ý); còn; thêm (biểu thị bổ sung); thêm; cộng; với; vừa... lại; vừa... vừa (biểu thị hai sự việc có mâu thuẫn); đâu (biểu thị nhấn mạnh),表示某种动作或情况重复或继续【錶示某種動作或情況重復或繼續】,咱们又见面了。【咱們又見麵了。】,zánmen yòu jiànmiànle.,Chúng ta lại gặp nhau rồi.,又 + Động từ + 了,又名HỰU DANH; 又称【又稱】HỰU XƯNG; 又及HỰU CẬP; 重又TRỌNG HỰU; 再TÁI,HỰU 又Số nét: 2,2,フ丶,
有点儿,有點兒,yǒudiǎnr,ㄧㄡˇㄉㄧㄢˇㄦ˙,hữu điểm nhi,,có một ít; có một chút; hơi; có hơi; có chút,有一些,他身上还有点儿钱。【他身上還有點兒錢。】,tā shēnshang hái yǒudiǎnr qián.,Anh ấy trên người vẫn còn một ít tiền.,有点儿 + Tính từ/ Động từ chỉ trạng thái tâm lý,,NGUYỆT 月Số nét: 6,6,一ノ丨フ一一,
友好,親近和睦,yǒuhǎo,ㄧㄡ˙ㄏㄠˇ,hữu hảo,,hữu hảo; hữu nghị; thân thiện; bạn tốt; bạn bè; bạn thân (văn viết),亲近和睦【親近和睦】,她对我很友好。【她對我很友好。】,tā duì wǒ hěn yǒuhǎo.,Cô ấy rất thân thiện với tôi.,A ( Ai đó / 国家／地区／组织) + 对 + B + Phó từ (很／特别／不) + 友好,友好区【友好區】HỮU HẢO KHU; 友好的HỮU HẢO ĐÍCH; 友好相处【友好相處】HỮU HẢO TƯƠNG XỨ; 睦邻友好【睦鄰友好】MỤC LÂN HỮU HẢO; 挑衅【挑釁】KHIÊU HẤN,HỰU 又Số nét: 4,4,一ノフ丶,
有空儿,有空兒,yǒu kòngr,ㄧㄡˇㄎㄨㄥㄦ˙,hữu không nhi,,rảnh; có thời gian,使能腾出时间【使能騰齣時間】,你有空儿帮我一下吗？【你有空兒幫我一下嗎】,nǐ yǒu kòngr bāng wǒ yīxià ma?,Bạn rảnh giúp tôi một chút được không?,,,NGUYỆT 月Số nét: 6,6,一ノ丨フ一一,
游客,遊客,yóukè,ㄧㄡˊㄎㄜˋ,du khách,,du khách; người đi du lịch; khách du lịch,旅游的人（多指来自外国或外地的）【旅遊的人多指來自外國或外地的】,这些是外国游客。【這些是外國遊客。】,zhèxiē shì wàiguó yóukè.,Đây là những du khách nước ngoài.,,旅游客【旅遊客】LỮ DU KHÁCH; 游客量【遊客量】DU KHÁCH LƯỢNG; 吸引游客【吸引遊客】HẤP DẪN DU KHÁCH; 游客中心【遊客中心】DU KHÁCH TRUNG TÂM; 乘客THỪA KHÁCH,THUỶ 水Số nét: 12,12,丶丶一丶一フノノ一フ丨一,
有人,這傢店裡/裏有人在排隊。,yǒurén,ㄧㄡˇㄖㄣˊ,hữu nhân,,có người,某人,这家店里有人在排队。【這傢店裡/裏有人在排隊。】,zhè jiā diàn lǐ yǒurén zài páiduì.,Trong cửa hàng này có người đang xếp hàng.,,所有人SỞ HỮU NHÂN; 持有人TRÌ HỮU NHÂN; 有人情HỮU NHÂN TÌNH; 大有人在ĐẠI HỮU NHÂN TẠI,NGUYỆT 月Số nét: 6,6,一ノ丨フ一一,
有意思,有意義，耐人尋味,yǒu yìsi,ㄧㄡˇㄧˋㄙ,hữu ý tứ,,thú vị; ý nghĩa; thú vị; hứng thú; có ý; có tình cảm (tình cảm nam nữ),有意义，耐人寻味【有意義，耐人尋味】,他的讲话非常有意思。【他的講話非常有意思。】,tā de jiǎnghuà fēicháng yǒuyìsi.,Bài nói của anh ấy rất thú vị.,,没有意思【沒有意思】MỘT HỮU Ý TƯ; 真有意思CHÂN HỮU Ý TƯ; 没意思【沒意思】MỘT Ý TƯ; 是味儿【是味兒】THỊ VỊ NHI,NGUYỆT 月Số nét: 6,6,一ノ丨フ一一,
油,動植物體內的脂肪；也指某些含碳氫化閤物的液體礦産品,yóu,ㄧㄡˊ,du,,"mỡ; dầu (từ thực vật hoặc động vật); dầu; xăng (lấy từ khoáng chất); họ Du; bôi; sơn; quét; vấy bẩn; vấy dầu (bị dầu mỡ vấy bẩn); sến; dầu mỡ; nhiều dầu; bết; nhờn; bóng dầu; nhiều dầu (tóc, da); sến; láu cá; khéo léo; giảo hoạt (vẻ về ngoài)",动植物体内的脂肪；也指某些含碳氢化合物的液体矿产品【動植物體內的脂肪；也指某些含碳氫化閤物的液體礦産品】,橄榄油比较健康。【橄欖油比較健康。】,gǎnlǎn yóu bǐjiào jiànkāng.,Dầu ô liu tương đối lành mạnh.,,加油GIA DU; 油腻【油膩】DU NỊ.NHỊ; 油漆DU TẤT; 酱油【醬油】TƯƠNG DU,THUỶ 水Số nét: 8,8,丶丶一丨フ一丨一,
鱼,魚,yú,ㄩˊ,ngư,,cá; con cá; cá (chỉ một số động vật thuỷ sinh giống cá); họ Ngư,生活在水中的脊椎动物【生活在水中的脊椎動物】,河里有很多鱼。【河裡/裏有很多魚。】,hé li yǒu hěnduō yú.,Trong sông có rất nhiều cá.,,钓鱼【釣魚】ĐIẾU NGƯ; 摸鱼【摸魚】MÔ NGƯ; 鱼露【魚露】NGƯ LỘ; 鱿鱼【魷魚】VƯU NGƯ,NGƯ 魚Số nét: 8,8,ノフ丨フ一丨一一,
语言,語言,yǔyán,ㄩˇㄧㄢˊ,ngữ ngôn,,ngôn ngữ; lời nói; tiếng nói,人类所特有的用来表达意思、交流思想的工具，是一种特殊的社会现象，由语音、词汇和语法构成一定的系统''语言''一般包括它的书面形式，但在与''文字''并举时只指口语【人類所特有的用來錶達意思、交流思想的工具，是一種特殊的社會現象，由語音、詞匯和語法構成一定的繫統''語言''一般包括它的書麵形式，但在與''文字''併舉時隻指口語】,这个国家使用好几种语言。【這個國傢使用好幾種語言。】,zhège guójiā shǐyòng hǎo jǐ zhǒng yǔyán.,Quốc gia này sử dụng nhiều loại ngôn ngữ.,Động từ (学习/研究/使用...) + 语言,语言学【語言學】NGỮ NGÔN HỌC; 跨语言【跨語言】KHÓA NGỮ NGÔN; 多语言【多語言】ĐA NGỮ NGÔN; 元语言【元語言】NGUYÊN NGỮ NGÔN; 说话【説話】THUYẾT THOẠI,NGÔN 言Số nét: 9,9,丶フ一丨フ一丨フ一,
院,房前屋後圍起來的空地,yuàn,ㄩㄢˋ,viện,,"sân; viện (công cộng, trụ sở hành chính); nhà; phòng; chái nhà; viện; trường (bệnh viện hoặc trường học); họ Viện",房前屋后围起来的空地【房前屋後圍起來的空地】,院里种了许多花。【院裡/裏種了許多花。】,yuànlǐ zhòng le xǔduō huā.,Trong sân trồng rất nhiều hoa,,医院【醫院】Y VIỆN; 住院TRÚ VIỆN; 出院【齣院】XUẤT VIỆN; 院子VIỆN TỬ,PHỤ 阜Số nét: 9,9,フ丨丶丶フ一一ノフ,
原来,原來,yuánlái,ㄩㄢˊㄌㄞˊ,nguyên lai,,cũ; ban đầu; lúc đầu; hoá ra; thì ra; té ra; trước đây; trước kia,起初;没有经过改变的【起初;沒有經過改變的】,他还住在原来的地方。【他還住在原來的地方。】,tā hái zhù zài yuánlái de dìfang.,Anh ấy vẫn ở chỗ cũ.,原来 + 的 + Danh từ,原来如此【原來如此】NGUYÊN LAI NHƯ THỬ; 现在【現在】HIỆN TẠI; 后来【後來】HẬU LAI; 本来【本來】BẢN LAI; 从来【從來】TÒNG LAI,HÁN 厂Số nét: 10,10,一ノノ丨フ一一丨ノ丶,
愿意,願意,yuànyì,ㄩㄢˋㄧˋ,nguyện ý,,nguyện; vui lòng; bằng lòng; sẵn lòng; nguyện ý; tình nguyện; đồng ý; hi vọng; mong muốn (nảy sinh tình huống nào đó),认为符合自己心愿而同意 (做某事)【認為符閤自己心願而衕意(做某事)】,你愿意和我结婚吗？【你願意和我結婚嗎】,nǐ yuànyì hé wǒ jiéhūn ma?,Em đồng ý lấy anh chứ?,愿意 + Ai đó + Động từ,我愿意！【我願意】NGÃ NGUYỆN Ý __; 切合愿意【切閤願意】THIẾT HỢP NGUYỆN Ý; 为难【為難】VI NAN; 反对【反對】PHẢN ĐỐI; 不肯BẤT KHẲNG.KHẢI,TÂM 心Số nét: 14,14,一ノノ丨フ一一丨ノ丶丶フ丶丶,
原因,引起某事髮/發生的條件或造成某種結果的條件；理由,yuányīn,ㄩㄢˊㄧㄣ,nguyên nhân,,nguyên nhân; nguyên do; lý do,引起某事发生的条件或造成某种结果的条件；理由【引起某事髮/發生的條件或造成某種結果的條件；理由】,这就是我们失败的原因。【這就是我們失敗的原因。】,zhè jiùshì wǒmen shībài de yuányīn.,Đây chính là nguyên nhân thất bại của chúng tôi.,,流出原因【流齣原因】LƯU XUẤT NGUYÊN NHÂN; 发生原因【髮/發生原因】PHÁT SINH.SANH NGUYÊN NHÂN; 故障原因CỐ CHƯỚNG NGUYÊN NHÂN; 结果【結果】KẾT QUẢ; 因为【因為】NHÂN VI,HÁN 厂Số nét: 10,10,一ノノ丨フ一一丨ノ丶,
院长,院長,yuàn zhǎng,ㄩㄢˋㄓㄤˇ,viện trưởng,,viện trưởng,"各公私机构或学校，以院为名者，其最高长官称为""院长""【各公私機構或學校，以院為名者，其最高長官稱為院長】",院长对改革计划给予支持。【院長對改革計劃給予支持。】,yuàn zhǎng duì gǎigé jìhuà jǐyǔ zhīchí.,Viện trưởng ủng hộ kế hoạch đổi mới.,,副院长【副院長】PHÓ VIỆN TRƯỜNG; 法院院长【法院院長】PHÁP VIỆN VIỆN TRƯỜNG,PHỤ 阜Số nét: 9,9,フ丨丶丶フ一一ノフ,
院子,房屋前後用墻或柵欄圍起來的空地,yuànzi,ㄩㄢˋㄗ˙,viện tử,,sân; sân nhỏ; sân trong,房屋前后用墙或栅栏围起来的空地【房屋前後用墻或柵欄圍起來的空地】,我们家有一个大院子。【我們傢有一個大院子。】,wǒmen jiā yǒu yīgè dà yuànzi.,Nhà chúng tôi có một sân lớn.,满 + 院子 + (的) + Danh từ,庭院ĐÌNH VIỆN; 院落VIỆN LẠC,PHỤ 阜Số nét: 9,9,フ丨丶丶フ一一ノフ,
月份,指某一個月,yuèfèn,ㄩㄝˋㄈㄣˋ,nguyệt phần,,tháng,指某一个月【指某一個月】,11月份经常出现霜冻。【月份經常齣現霜凍。】,11 yuèfèn jīngcháng chūxiàn shuāngdòng.,Tháng 11 thường có sương muối.,,三月份TAM NGUYỆT PHẦN.PHẬN; 一月份NHẤT NGUYỆT PHẦN.PHẬN; 五月份NGŨ NGUYỆT PHẦN.PHẬN; 八月份BÁT NGUYỆT PHẦN.PHẬN,NGUYỆT 月Số nét: 4,4,ノフ一一,
越,錶示某種程度隨著條件的變化而變化,yuè,ㄩㄝˋ,việt,,"Việt Nam; Việt; vùng Việt (ở Trung Quốc bao gồm các tỉnh Quảng Đông, Quảng Tây,...); Nước Việt (một nước đời Chu); họ Việt; vượt; vượt quá; vượt qua; nhảy qua; cướp; cướp bóc; cướp đoạt; tước đoạt; cao; dâng trào (tiếng hát, tình cảm); trải qua; ưu việt; xuất sắc; vượt trội",表示某种程度随着条件的变化而变化【錶示某種程度隨著條件的變化而變化】,这本书越看越有趣。【這本書越看越有趣。】,zhè běn shū yuè kàn yuè yǒuqù.,Cuốn sách này càng đọc càng thú vị.,,越南VIỆT NAM; 卓越TRÁC VIỆT; 超越SIÊU VIỆT; 穿越XUYÊN VIỆT,TẨU 走Số nét: 12,12,一丨一丨一ノ丶一フフノ丶,
越来越,越來越,yuè lái yuè,ㄩㄝˋㄌㄞˊㄩㄝˋ,việt lai việt,,ngày càng; càng ngày càng,表示程度随着时间的延伸而加深。【錶示程度隨著時間的延伸而加深。】,学汉语的人越来越多。【學漢語的人越來越多。】,xué hànyǔ de rén yuè lái yuè duō.,Ngày càng có nhiều người học tiếng Trung.,Chủ ngữ + 越来越 + Tính từ + 了,逐渐减少【逐漸減少】TRỤC TIỆM GIẢM THIỂU; 逐渐消失【逐漸消失】TRỤC TIỆM TIÊU THẤT; 进一步【進一步】TIẾN NHẤT BỘ; 愈来愈【癒來癒】DŨ LAI DŨ,TẨU 走Số nét: 12,12,一丨一丨一ノ丶一フフノ丶,
月亮,月球的通稱，是地球的衛星，本身不髮/發光，它的光是反射太陽的光,yuèliang,ㄩㄝˋㄌㄧㄤˋ,nguyệt lượng,,trăng; mặt trăng; ánh trăng; vầng trăng,月球的通称，是地球的卫星，本身不发光，它的光是反射太阳的光【月球的通稱，是地球的衛星，本身不髮/發光，它的光是反射太陽的光】,今晚的月亮很圆。【今晚的月亮很圓。】,jīn wǎn de yuèliang hěn yuán.,Tối nay vầng trăng rất tròn.,,,NGUYỆT 月Số nét: 4,4,ノフ一一,
云,雲,yún,ㄩㄣˊ,vân,,mây; tỉnh Vân Nam; họ Vân; rằng; bảo; nói,在空中悬浮的由水滴、冰晶聚集形成的物体【在空中懸浮的由水滴、冰晶聚集形成的物體】,云层遮住了阳光。【雲層遮住了陽光。】,yúncéng zhē zhùle yángguāng.,Mây che mất ánh sáng mặt trời.,,多云【多雲】ĐA VÂN; 云南【雲南】VÂN NAM; 乌云【烏雲】Ô VÂN; 云端【雲端】VÂN ĐOAN,NHỊ 二Số nét: 4,4,一一フ丶,
运动,運動,yùndòng,ㄩㄣˋㄉㄨㄥˋ,vận động,,thể thao; hoạt động thể thao; các môn thể thao; phong trào; cuộc vận động; sự chuyển động; sự vận động (triết học); hoạt động; tập luyện; vận động; vân động; chuyển động (trong vật lý),体育活动【體育活動】,我喜欢做各种运动。【我喜歡做各種運動。】,wǒ xǐhuan zuò gè zhǒng yùndòng.,Tôi thích chơi tất cả các môn thể thao.,运动 + 对……有好处/很重要等,运动场【運動場】VẬN ĐỘNG TRƯỜNG; 运动会【運動會】VẬN ĐỘNG HỘI; 运动鞋【運動鞋】VẬN ĐỘNG HÀI; 运动员【運動員】VẬN ĐỘNG VIÊN; 停止ĐÌNH CHỈ,SƯỚC 辵Số nét: 7,7,一一フ丶丶フ丶,
咱们,咱們,zánmen,ㄗㄢˊㄇㄣ˙,cha môn,,tụi mình; chúng ta; chúng mình (cả người nói và người nghe); bạn; cậu; các bạn; tôi; tớ; mình,称说话人（我、我们）和听话人（你、你们）双方【稱説話人我、我們和聽話人你、你們雙方】,咱们一起去看电影吧。【咱們一起去看電影吧。】,zánmen yīqǐ qù kàn diànyǐng ba.,Chúng ta cùng đi xem phim nhé.,咱们（+ 的) + Danh từ,我们【我們】NGÃ MÔN,KHẨU 口Số nét: 9,9,丨フ一ノ丨フ一一一,
咱,我們,zán,ㄗㄢˊ,cha,,chúng tôi; chúng ta; tôi; ta; mình,我们【我們】,咱们去吃火锅吧。【咱們去吃/喫火鍋吧。】,zánmen qù chī huǒguō ba.,Chúng ta đi ăn lẩu nhé.,,咱们【咱們】CHA MÔN; 咱家【咱傢】CHA GIA; 咱俩【咱倆】CHA LƯỠNG; 这咱【這咱】GIÁ CHA,KHẨU 口Số nét: 9,9,丨フ一ノ丨フ一一一,
脏,髒,zāng,ㄗㄤˋ,tang,,dơ; bẩn; ô uế; bẩn thỉu; thô tục; tục tĩu; làm dơ; làm bẩn,不干净【不幹凈】,妈妈正在洗脏衣服。【媽媽正在洗髒衣服。】,māma zhèngzài xǐ zāng yīfu.,Mẹ đang giặt quần áo bẩn.,Đồ vật（ 衣服 / 鞋子 / 地上/面包 ）+（ 很/不+ ）脏,肮脏【骯髒】KHANG TANG; 弄脏【弄髒】LỘNG TANG; 脏话【髒話】TANG THOẠI; 脏字【髒字】TANG TỰ; 净【凈】TỊNH,NHỤC 肉Số nét: 10,10,ノフ一一丶一ノ一丨一,
早餐,早飯,zǎocān,ㄗㄠˇㄘㄢ,tảo xan,,bữa sáng,早饭【早飯】,你爸爸早餐喜欢吃什么？【你爸爸早餐喜歡吃/喫什麼】,nǐ bàba zǎocān xǐhuan chī shénme?,Bố cậu bữa sáng thường thích ăn gì?,Tính từ + 早餐,晚餐VÃN XAN; 晚宴VÃN YẾN; 早饭【早飯】TẢO PHẠN; 早点【早點】TẢO ĐIỂM,NHẬT 日Số nét: 6,6,丨フ一一一丨,
早晨,從天將亮到八、九點鍾的一段時間有時從午夜十二點以後到中午十二點以前都算是早晨,zăochén,ㄗㄠˇㄔㄣ˙,tảo thần,,sáng; sớm; buổi sáng; sáng sớm; sớm mai; ban mai,从天将亮到八、九点钟的一段时间有时从午夜十二点以后到中午十二点以前都算是早晨【從天將亮到八、九點鍾的一段時間有時從午夜十二點以後到中午十二點以前都算是早晨】,他喜欢早晨慢跑。【他喜歡早晨慢跑。】,tā xǐhuan zăochén mànpǎo.,Anh ấy thích chạy bộ vào buổi sáng.,A + 在 + 早晨 + Động từ,晚上VÃN THƯỢNG; 晚间【晚間】VÃN GIAN; 早上TẢO THƯỢNG; 凌晨【淩晨】LĂNG THẦN; 黎明LÊ MINH,NHẬT 日Số nét: 6,6,丨フ一一一丨,
早就,他早就離開了這個城市。,zǎo jiù,ㄗㄠˇㄐㄧㄡˋ,tảo tựu,,đã sớm; sớm đã; từ đầu,很久之前,他早就离开了这个城市。【他早就離開了這個城市。】,tā zǎo jiù líkāile zhège chéngshì.,Anh ấy đã sớm rời khỏi thành phố này.,早就 + Động từ (明白/关门/过时/回家 ...) + 了,提前ĐỀ TIỀN; 事先SỰ TIÊN; 先前TIÊN TIỀN; 早已TẢO DĨ,NHẬT 日Số nét: 6,6,丨フ一一一丨,
怎么办,怎麼辦,zěnme bàn,ㄗㄣˇㄇㄜ˙ㄅㄢˋ,chẩm ma biện,,phải làm sao; làm thế nào,表示对当前情况或问题的不知道该怎么处理或解决。【錶示對當前情況或問題的不知道該怎麼處理或解決。】,没有他我该怎么办？【沒有他我該怎麼辦】,méiyǒu tā wǒ gāi zěnme bàn?,Không có anh ấy tôi phải làm sao?,,,TÂM 心Số nét: 9,9,ノ一丨一一丶フ丶丶,
